Descriptors,,,Core,,,,,,,,,,,,,,,,Supplemental,,,,,,,,,,,,,,,,Expansion,,
Item,Serving,Unit,g - mL,Kcal,Fat,Sat Fat,PUFA,MUFA,Na,K,Carb,Fiber,Sugar,Protein,VitA,VitC,Ca,Fe,VitD,VitE,VitK,B1,B2,B3,B6,B9,B12,Cu,I,Mg,Mn,P,Se,Zn,ω-3,Sol Fiber,
Agave Nectar (Light),1,tbsp,21,60,0,,,,0,,16,,16,0,,,,,,,,,,,,,,,,,,,,,,,
Almonds (Sliced),0.25,cup,30,190,15,1,,,0,,7,4,1,6,0%,0%,8%,6%,,,,,,,,,,,,,,,,,,,
Almonds (Whole),1,oz,28,161,14,1,3.4,8.6,,197,6,3,1,6,,,7%,6%,,37%,,4%,17%,5%,2%,3%,,14%,,19%,32%,14%,1%,6%,1.7,,
Apple (Raw With Skin),1,medium,182,95,0,0,,,,195,25,4,19,,2%,14%,1%,1%,,,,,,,,,,,,,,,,,,,
Applesauce (Natural),0.5,cup,123,50,0,0,,,0,90,14,1,12,0,0%,20%,0%,0%,,,,,,,,,,,,,,,,,,,
Avocado - Raw,1,item,201,322,29,4,3.7,19.7,,975,17,13,1,4,6%,33%,2%,6%,,21%,53%,9%,15%,17%,26%,41%,,19%,,15%,14%,10%,,,,,
Baked Beans (Bush’s Vegetarian),0.5,cup,130,130,0,0,,,550,,29,5,12,6,0%,0%,4%,10%,,,,,,,,,,,,,,,,,,,
Baking Powder,0.125,tsp,0.6,0,0,,,,35,,0,,,0,,,4%,,,,,,,,,,,,,,,,,,,,
Baking Soda,0.125,tsp,0.6,0,0,0,,,160,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
Banana,1,medium,118,105,0,,,,1,422,27,3,14,1,2%,17%,1%,2%,,,,,,,22%,,,,,,16%,,,,,,
Beef (85% Lean Ground),4,oz,113,240,17,7,,,75,,,,,21,,,2%,15%,,,,,,,,,,,,,,,,,,,
Bell Pepper (Green),1,cup,149,30,0.2,0.1,0.1,0,4,261,7,2.5,3.6,1.3,11%,200%,1%,3%,,,,,,,,,,,,,,,,,,,
Bell Pepper (Red),1,cup,149,46,0.4,0,0.1,0,6,314,9.4,3.1,6.3,1.5,93%,317%,1%,4%,,,,,,,,,,,,,,,,,,,
Bell Pepper (Yellow),1,cup,149,40,0.3,0,0,0,3,315,9.5,1.4,0,1.5,6%,455%,2%,4%,,,,,,,,,,,,,,,,,,,
Black Beans (Canned Low Sodium),4.3,oz,122,100,0,0,,,125,,18,8,0,7,0%,0%,4%,10%,,,,,,,,,,,,,,,,,,,
Blueberries,1,cup,148,84,0,0,,,1,114,21,4,15,1,2%,24%,1%,2%,,4%,36%,4%,4%,3%,4%,2%,,4%,,2%,25%,2%,,2%,85.8,,
Bread (100% Stone Ground Whole Wheat),1,item,36,80,1,0,0,0,160,,15,2,2,4,0%,0%,4%,4%,,,,4%,2%,4%,,2%,,,,,,,,,,,
Bread (Sprouted Grain),1,item,34,80,0,0,,,75,,15,3,0,4,0%,0%,0%,4%,,,,8%,2%,6%,4%,,,,,6%,,8%,,4%,,,
Bread (White),1,item,30,80,1,0,,,204,30,15,1,1,2,0%,0%,5%,6%,,,1%,9%,6%,7%,1%,8%,,4%,,2%,7%,3%,7%,1%,41.7,,
Breadcrumbs (Italian Style),0.25,cup,34,130,1.5,0,,,380,,24,2,2,5,0%,0%,4%,15%,,,,20%,10%,8%,,15%,,,,,,,,,,,
Breadcrumbs (Plain),0.33,cup,30,110,1,0,0,0,230,,22,2,2,4,0%,0%,8%,6%,,,,,,,,,,,,,,,,,,,
Broccoli,1,cup,91,31,0,0,,,30,288,6,2,2,3,11%,135%,4%,4%,,,116%,4%,6%,3%,8%,14%,,,,,10%,,,,,,
Butter (Salted),1,tbsp,14,100,11,7,,,90,,0,,,0,8%,,,,,,,,,,,,,,,,,,,,,,
Butter (Unsalted),1,tbsp,14,100,11,7,,,0,,0,,,0,8%,,,,,,,,,,,,,,,,,,,,,,
Cabbage (Bok Choy),1,cup,70,9,0,,,,46,,2,1,1,1,63%,52%,7%,3%,,,40%,,,,,12%,,,,,,,,,,,
Cabbage (Napa),1,cup,109,13,0,,,,12,,2,0,0,1,6%,6%,3%,4%,,,,,,,,12%,,,,,,,,,,,
Cantaloupe (Raw Cubed),1,cup,177,60,0,0,,,,473,16,2,14,1,120%,108%,2%,2%,,,6%,5%,,6%,6%,9%,,,,,15%,13%,,,2457,,
Carrots,1,medium,61,25,0,,,,42,,6,2,3,1,204%,6%,2%,1%,,,10%,,,,,,,,,,,,,9%,,,
Carrots (Baby),1,medium,10,4,0,,,,8,,1,0,0,0,28%,0%,0%,0%,,,,,,,,,,,,,,,,,,,
Cheese (Parmesan),1,oz,28,100,7,4,,,390,,0,0,0,9,4%,0%,30%,0%,,,,,,,,,,,,,,,,,221,,
Cheese (Ricotta),0.25,cup,62,120,9,5,,,55,,3,0,2,7,10%,0%,20%,0%,,,,,,,,,,,,,,,,,,,
Cheese (Sharp Yellow Cheddar),0.25,cup,28,110,9,5,,,180,,1,0,0,7,6%,0%,20%,0%,,,,,,,,,,,,,,,,,,,
Cheese (Whole Milk Mozzarella),1,oz,30,80,6,4,,,180,,1,0,0,6,4%,0%,20%,0%,,,,,,,,,,,,,,,,,,,
Chia Seeds,1,tbsp,13,60,4.5,0.5,3.25,0.3,,,5,5,,3,0%,0%,6%,4%,,,,,,,,,,,,,,,,,,,
Chick Peas (Canned Low Sodium),4.3,oz,122,100,0.5,0,,,120,,20,7,0,6,0%,0%,4%,6%,,,,,,,,,,,,,,,,,,,
Chicken (Boneless Skinless Breast),1,oz,28,46,1,0.3,0.2,0.3,21,,0,0,0,9,0%,0%,0%,2%,,,,,,19%,,,,,,,,,,,,,
Chocolate Chips (Semi-Sweet),1,cup,168,805,50,30,1.6,16.7,18,613,106,10,92,7,0%,0%,5%,29%,,,12%,,9%,,,,,,,,,,,,,,
Cinnamon (Ground),1,tsp,2,6,0,0,,,,,2,1,,0,0%,0%,3%,1%,,,,,,,,,,,,,22%,,,,,,
Cinnamon Sugar,1,tsp,,15,0,0,,,,,4,,4,0,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,
Cocoa Powder,1,cup,86,196,12,7,0.4,3.9,18,1311,50,29,2,17,0%,0%,11%,66%,,,,,12%,,,,,163%,,107%,165%,63%,18%,39%,,,
Coconut (Sweetened),2,tbsp,15,70,4.5,4,,,30,,7,2,5,0,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,
Cooking Wine,2,tbsp,30,20,0,,,,190,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
Corn Meal (Yellow Enriched),0.25,cup,30,110,1,,,,0,,23,2,0.5,2,,,,4%,,,,10%,4%,6%,,10%,,,,,,,,,,,
Corn Starch,1,tbsp,8,30,0,,,,0,,7,,,0,,,,,,,,,,,,,,,,,,,,,,,
Egg (Large),1,item,50,60,4,1,,,65,,0,,,6,6%,0%,2%,4%,30%,25%,,2%,15%,,4%,10%,,,,,,,,,,,
